ward,region_key,district,jichikai,households,corporate,asof,source_url
中央区,minami,芳川地区,芳川町大橋,675,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,芳川町神出,270,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,西伝寺町,485,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,都盛町,308,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,金折町,367,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,頭陀寺町,700,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,芳川地区,鼡野町,108,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,三和町,894,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,下飯田町,160,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,南天竜,86,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,大塚町,130,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,新貝町,226,True,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,渡瀬町,985,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,青屋町,527,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,飯田町上組,447,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,飯田町新田,107,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,飯田町田畑,137,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,飯田町西,615,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,飯田町開戸,281,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,鶴見町東,104,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
中央区,minami,飯田地区,鶴見町西,325,False,2025-04-01,https://www.hamajitiren.jp/chiiki/minami02.html
